2024-12-12,10:42:54,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
9.6519862774e-05,1.2510689657e-04,1.5801208650e-04,5.2349848829e+01,1.0000003052e+07,1.0823954395e-04,1.7594976665e-04,9.6519862774e-05,1.2510689657e-04,1.5801208650e-04,5.2349848829e+01,9.6519862774e-05,1.2510689657e-04,1.5801208650e-04,5.2349848829e+01,9.6519862774e-05,1.2510689657e-04,1.5801208650e-04,5.2349848829e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-1.5625476371e-03
9.6237261104e-05,1.2665243146e-04,1.5906743481e-04,5.2770500398e+01,1.0000003052e+07,1.0823958526e-04,1.7594894115e-04,9.6237261104e-05,1.2665243146e-04,1.5906743481e-04,5.2770500398e+01,9.6237261104e-05,1.2665243146e-04,1.5906743481e-04,5.2770500398e+01,9.6237261104e-05,1.2665243146e-04,1.5906743481e-04,5.2770500398e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
9.6558091674e-05,1.2765676458e-04,1.6006159630e-04,5.2896566987e+01,1.0000003052e+07,1.0823963425e-04,1.7594798294e-04,9.6558091674e-05,1.2765676458e-04,1.6006159630e-04,5.2896566987e+01,9.6558091674e-05,1.2765676458e-04,1.6006159630e-04,5.2896566987e+01,9.6558091674e-05,1.2765676458e-04,1.6006159630e-04,5.2896566987e+01,-3.1250953907e-04,-3.1250953907e-04,-1.2500381563e-03,-1.8750572344e-03
9.6739068648e-05,1.2734921303e-04,1.5992582487e-04,5.2778386098e+01,1.0000003052e+07,1.0823968756e-04,1.7594702750e-04,9.6739068648e-05,1.2734921303e-04,1.5992582487e-04,5.2778386098e+01,9.6739068648e-05,1.2734921303e-04,1.5992582487e-04,5.2778386098e+01,9.6739068648e-05,1.2734921303e-04,1.5992582487e-04,5.2778386098e+01,3.1250953907e-04,9.3752861721e-04,0.0000000000e+00,-3.1250953907e-04
9.6162408944e-05,1.2608297397e-04,1.5856899198e-04,5.2667547094e+01,1.0000003052e+07,1.0823973626e-04,1.7594618235e-04,9.6162408944e-05,1.2608297397e-04,1.5856899198e-04,5.2667547094e+01,9.6162408944e-05,1.2608297397e-04,1.5856899198e-04,5.2667547094e+01,9.6162408944e-05,1.2608297397e-04,1.5856899198e-04,5.2667547094e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04
9.4626668990e-05,1.2457282581e-04,1.5643719319e-04,5.2779364726e+01,1.0000003052e+07,1.0823976950e-04,1.7594553562e-04,9.4626668990e-05,1.2457282581e-04,1.5643719319e-04,5.2779364726e+01,9.4626668990e-05,1.2457282581e-04,1.5643719319e-04,5.2779364726e+01,9.4626668990e-05,1.2457282581e-04,1.5643719319e-04,5.2779364726e+01,-6.2501907814e-04,-3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
9.2485988790e-05,1.2331402250e-04,1.5414281127e-04,5.3129966180e+01,1.0000003052e+07,1.0823977057e-04,1.7594503387e-04,9.2485988790e-05,1.2331402250e-04,1.5414281127e-04,5.3129966180e+01,9.2485988790e-05,1.2331402250e-04,1.5414281127e-04,5.3129966180e+01,9.2485988790e-05,1.2331402250e-04,1.5414281127e-04,5.3129966180e+01,-6.2501907814e-04,-6.2501907814e-04,-1.5625476371e-03,-1.5625476371e-03
9.0242593125e-05,1.2266852692e-04,1.5228687767e-04,5.3659493567e+01,1.0000003052e+07,1.0823974644e-04,1.7594515845e-04,9.0242593125e-05,1.2266852692e-04,1.5228687767e-04,5.3659493567e+01,9.0242593125e-05,1.2266852692e-04,1.5228687767e-04,5.3659493567e+01,9.0242593125e-05,1.2266852692e-04,1.5228687767e-04,5.3659493567e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
8.8113992350e-05,1.2253712065e-04,1.5092853138e-04,5.4280847821e+01,1.0000003052e+07,1.0823971364e-04,1.7594545803e-04,8.8113992350e-05,1.2253712065e-04,1.5092853138e-04,5.4280847821e+01,8.8113992350e-05,1.2253712065e-04,1.5092853138e-04,5.4280847821e+01,8.8113992350e-05,1.2253712065e-04,1.5092853138e-04,5.4280847821e+01,-1.2500381563e-03,-6.2501907814e-04,-2.1875668317e-03,-2.5000763126e-03
8.6273032734e-05,1.2249938107e-04,1.4983035253e-04,5.4843993568e+01,1.0000003052e+07,1.0823967458e-04,1.7594584376e-04,8.6273032734e-05,1.2249938107e-04,1.4983035253e-04,5.4843993568e+01,8.6273032734e-05,1.2249938107e-04,1.4983035253e-04,5.4843993568e+01,8.6273032734e-05,1.2249938107e-04,1.4983035253e-04,5.4843993568e+01,3.1250953907e-04,6.2501907814e-04,0.0000000000e+00,-9.3752861721e-04
8.5021546384e-05,1.2225040940e-04,1.4890878399e-04,5.5182532532e+01,1.0000003052e+07,1.0823962580e-04,1.7594622615e-04,8.5021546384e-05,1.2225040940e-04,1.4890878399e-04,5.5182532532e+01,8.5021546384e-05,1.2225040940e-04,1.4890878399e-04,5.5182532532e+01,8.5021546384e-05,1.2225040940e-04,1.4890878399e-04,5.5182532532e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-6.2501907814e-04
8.4270296301e-05,1.2131347879e-04,1.4771067319e-04,5.5214263667e+01,1.0000003052e+07,1.0823955524e-04,1.7594654687e-04,8.4270296301e-05,1.2131347879e-04,1.4771067319e-04,5.5214263667e+01,8.4270296301e-05,1.2131347879e-04,1.4771067319e-04,5.5214263667e+01,8.4270296301e-05,1.2131347879e-04,1.4771067319e-04,5.5214263667e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-1.5625476371e-03
8.3456797485e-05,1.1955282316e-04,1.4580094160e-04,5.5082086887e+01,1.0000003052e+07,1.0823944416e-04,1.7594680176e-04,8.3456797485e-05,1.1955282316e-04,1.4580094160e-04,5.5082086887e+01,8.3456797485e-05,1.1955282316e-04,1.4580094160e-04,5.5082086887e+01,8.3456797485e-05,1.1955282316e-04,1.4580094160e-04,5.5082086887e+01,-3.1250953907e-04,-3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
8.2221798502e-05,1.1737360294e-04,1.4330731599e-04,5.4988241303e+01,1.0000003052e+07,1.0823927620e-04,1.7594701827e-04,8.2221798502e-05,1.1737360294e-04,1.4330731599e-04,5.4988241303e+01,8.2221798502e-05,1.1737360294e-04,1.4330731599e-04,5.4988241303e+01,8.2221798502e-05,1.1737360294e-04,1.4330731599e-04,5.4988241303e+01,0.0000000000e+00,0.0000000000e+00,-1.2500381563e-03,-9.3752861721e-04
8.0595618374e-05,1.1534000114e-04,1.4070881125e-04,5.5055480940e+01,1.0000003052e+07,1.0823878308e-04,1.7594754014e-04,8.0595618374e-05,1.1534000114e-04,1.4070881125e-04,5.5055480940e+01,8.0595618374e-05,1.1534000114e-04,1.4070881125e-04,5.5055480940e+01,8.0595618374e-05,1.1534000114e-04,1.4070881125e-04,5.5055480940e+01,-9.3752861721e-04,-3.1250953907e-04,-1.2500381563e-03,-1.8750572344e-03
7.8969221872e-05,1.1435749356e-04,1.3897400597e-04,5.5373102807e+01,1.0000003052e+07,1.0823849674e-04,1.7594786599e-04,7.8969221872e-05,1.1435749356e-04,1.3897400597e-04,5.5373102807e+01,7.8969221872e-05,1.1435749356e-04,1.3897400597e-04,5.5373102807e+01,7.8969221872e-05,1.1435749356e-04,1.3897400597e-04,5.5373102807e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-6.2501907814e-04
7.7725237659e-05,1.1519810333e-04,1.3896695859e-04,5.5992096310e+01,1.0000003052e+07,1.0823820593e-04,1.7594812545e-04,7.7725237659e-05,1.1519810333e-04,1.3896695859e-04,5.5992096310e+01,7.7725237659e-05,1.1519810333e-04,1.3896695859e-04,5.5992096310e+01,7.7725237659e-05,1.1519810333e-04,1.3896695859e-04,5.5992096310e+01,-3.1250953907e-04,0.0000000000e+00,-1.2500381563e-03,-1.5625476371e-03
7.6797157300e-05,1.1777495162e-04,1.4060136058e-04,5.6892961126e+01,1.0000001526e+07,1.0823790723e-04,1.7594817843e-04,7.6797157300e-05,1.1777495162e-04,1.4060136058e-04,5.6892961126e+01,7.6797157300e-05,1.1777495162e-04,1.4060136058e-04,5.6892961126e+01,7.6797157300e-05,1.1777495162e-04,1.4060136058e-04,5.6892961126e+01,0.0000000000e+00,3.1250953907e-04,-9.3752861721e-04,-1.2500381563e-03
7.5967265586e-05,1.2120266961e-04,1.4304234534e-04,5.7921390152e+01,1.0000001526e+07,1.0823758671e-04,1.7594792949e-04,7.5967265586e-05,1.2120266961e-04,1.4304234534e-04,5.7921390152e+01,7.5967265586e-05,1.2120266961e-04,1.4304234534e-04,5.7921390152e+01,7.5967265586e-05,1.2120266961e-04,1.4304234534e-04,5.7921390152e+01,-9.3752861721e-04,-3.1250953907e-04,-1.2500381563e-03,-1.8750572344e-03
