2024-12-09,15:59:42,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
7.9797226284e-05,1.2446719160e-04,1.4785019143e-04,5.7335644933e+01,1.0000003052e+07,6.1801520191e-05,7.8904412860e-05,7.9797226284e-05,1.2446719160e-04,1.4785019143e-04,5.7335644933e+01,7.9797226284e-05,1.2446719160e-04,1.4785019143e-04,5.7335644933e+01,7.9797226284e-05,1.2446719160e-04,1.4785019143e-04,5.7335644933e+01,-6.2501907814e-04,-6.2501907814e-04,-1.5625476371e-03,-1.8750572344e-03
7.9101732859e-05,1.2532490725e-04,1.4820059554e-04,5.7740978533e+01,1.0000003052e+07,6.1804683788e-05,7.8909039674e-05,7.9101732859e-05,1.2532490725e-04,1.4820059554e-04,5.7740978533e+01,7.9101732859e-05,1.2532490725e-04,1.4820059554e-04,5.7740978533e+01,7.9101732859e-05,1.2532490725e-04,1.4820059554e-04,5.7740978533e+01,3.7501144689e-03,5.6251715869e-03,5.3126621060e-03,5.0001526251e-03
7.7558125191e-05,1.2473524248e-04,1.4688139262e-04,5.8127400545e+01,1.0000003052e+07,6.1808031912e-05,7.8913725225e-05,7.7558125191e-05,1.2473524248e-04,1.4688139262e-04,5.8127400545e+01,7.7558125191e-05,1.2473524248e-04,1.4688139262e-04,5.8127400545e+01,7.7558125191e-05,1.2473524248e-04,1.4688139262e-04,5.8127400545e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
7.6029296797e-05,1.2280906667e-04,1.4443864035e-04,5.8238960669e+01,1.0000003052e+07,6.1811601785e-05,7.8918608113e-05,7.6029296797e-05,1.2280906667e-04,1.4443864035e-04,5.8238960669e+01,7.6029296797e-05,1.2280906667e-04,1.4443864035e-04,5.8238960669e+01,7.6029296797e-05,1.2280906667e-04,1.4443864035e-04,5.8238960669e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-6.2501907814e-04
7.5096795420e-05,1.2048012699e-04,1.4196826998e-04,5.8064192539e+01,1.0000003052e+07,6.1815349500e-05,7.8923757468e-05,7.5096795420e-05,1.2048012699e-04,1.4196826998e-04,5.8064192539e+01,7.5096795420e-05,1.2048012699e-04,1.4196826998e-04,5.8064192539e+01,7.5096795420e-05,1.2048012699e-04,1.4196826998e-04,5.8064192539e+01,0.0000000000e+00,9.3752861721e-04,-3.1250953907e-04,-9.3752861721e-04
7.4354137874e-05,1.1886816919e-04,1.4020762984e-04,5.7973298346e+01,1.0000003052e+07,6.1819220450e-05,7.8929142849e-05,7.4354137874e-05,1.1886816919e-04,1.4020762984e-04,5.7973298346e+01,7.4354137874e-05,1.1886816919e-04,1.4020762984e-04,5.7973298346e+01,7.4354137874e-05,1.1886816919e-04,1.4020762984e-04,5.7973298346e+01,1.2500381563e-03,1.2500381563e-03,6.2501907814e-04,3.1250953907e-04
7.3048891960e-05,1.1882251592e-04,1.3948093384e-04,5.8417920622e+01,1.0000003052e+07,6.1823224159e-05,7.8934624536e-05,7.3048891960e-05,1.1882251592e-04,1.3948093384e-04,5.8417920622e+01,7.3048891960e-05,1.1882251592e-04,1.3948093384e-04,5.8417920622e+01,7.3048891960e-05,1.1882251592e-04,1.3948093384e-04,5.8417920622e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
7.1021898171e-05,1.2044450296e-04,1.3982484870e-04,5.9473643184e+01,1.0000003052e+07,6.1827429454e-05,7.8940004016e-05,7.1021898171e-05,1.2044450296e-04,1.3982484870e-04,5.9473643184e+01,7.1021898171e-05,1.2044450296e-04,1.3982484870e-04,5.9473643184e+01,7.1021898171e-05,1.2044450296e-04,1.3982484870e-04,5.9473643184e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
6.8671654110e-05,1.2305237835e-04,1.4091729452e-04,6.0835495489e+01,1.0000001526e+07,6.1836721320e-05,7.8949891571e-05,6.8671654110e-05,1.2305237835e-04,1.4091729452e-04,6.0835495489e+01,6.8671654110e-05,1.2305237835e-04,1.4091729452e-04,6.0835495489e+01,6.8671654110e-05,1.2305237835e-04,1.4091729452e-04,6.0835495489e+01,-9.3752861721e-04,-6.2501907814e-04,-1.2500381563e-03,-1.8750572344e-03
6.6528827610e-05,1.2571748175e-04,1.4223561481e-04,6.2112519215e+01,1.0000001526e+07,6.1841837353e-05,7.8954333653e-05,6.6528827610e-05,1.2571748175e-04,1.4223561481e-04,6.2112519215e+01,6.6528827610e-05,1.2571748175e-04,1.4223561481e-04,6.2112519215e+01,6.6528827610e-05,1.2571748175e-04,1.4223561481e-04,6.2112519215e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
